Nro,Job Title,Description,Majors/Concentrations,Qualifications
105,Administrador de Proyecto,"-	Registrar y evaluar el alcance de los proyectos asignados.
-	Convocar a reuniones de kick off con el fin de transmitir los alcances, detalles del proyecto a iniciar, definición de responsables de la ejecución, tiempos y recursos.
-	Coordinar con los clientes los plazos de ejecución y los requerimientos necesarios para el cumplimiento de los plazos previstos.
-	Coordinar con los clientes, proveedores y equipo técnico interno las actividades y tareas relacionadas a los proyectos a su cargo.
-	Informar a los clientes los avances y cumplimiento de tareas de los proyectos a su cargo.
-	Supervisar que las actividades desplegadas por el equipo técnico se ejecuten de acuerdo a los recursos y tiempos programados.
-	Solicitar al equipo técnico la elaboración de documentos referentes al despliegue de las tareas en los proyectos","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","-	Bachiller de la carrera de Administración, Ingeniería Industrial, Ingeniería Electrónica, Ingeniería de Sistemas, Ingeniería de Telecomunicaciones, Computación e Informática.
-	Certificación PMI (Deseable).
-	Experiencia no menor a 2 años en la posición de Administrador de Proyecto dentro del sector de tecnología.
-	Ms Office intermedio, Ms Project, Ms S.O (Intermedio).
-	Inglés técnico (Deseable)."
106,Gerente Comercial,"1.	Definir políticas comerciales, líneas de productos a comercializar; decidir la incorporación y desarrollo de nuevos productos.
2.	Definir política de Marketing y Publicidad (dimensionar mercado, definir segmentación de mercado de acuerdo a líneas de productos).
3.	Evaluar los proyectos comerciales  en conjunto con el Sub Gerente de Ventas.
4.	Supervisar las negociaciones con proveedores nacionales e internacionales y buscar las mejores condiciones para la empresa.
5.	Analizar e investigar mercados, (en conjunto con ventas y operaciones).
6.	Definir y dirigir la estrategia comercial.","ADMINISTRACIÓN, DISEÑO INDUSTRIAL, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA CIVIL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","•	6 años de experiencia general.
•	3 a 4 años en el puesto de Gerente Comercial.
•	Manejo de FFVV.
•	Desarrollo de estrategia comercial.
•	Disponibilidad de viajar dentro y fuera de Lima."
107,Gerente de Operaciones," Lo que harías:

Vas a hacer que las operaciones simplemente funcionen todos los días liderando a tus equipos. Somos una organización en proceso de crecimiento, por lo tanto vas a desarrollar metas de acuerdo a los nuevos desafíos y comunicarlas a cada área. El entorno de tu trabajo va a ser entre nuestra oficina en Barranco, planta de tratamiento en Villa El Salvador y en Pamplona Alta.

Áreas que vas a liderar:

 1. Planta x-runner: que funcione y se adapte a los desafíos de las operaciones de la empresa y que sea un lugar de trabajo seguro.

- Supervisar siguientes actividades: Bolsas de aserrín, ensamblaje, orden y limpieza, disposición final de residuos, mantenimiento de planta.
- Supervisar almacén de planta.
- Implementar la estrategia de Seguridad Ocupacional y asegurar el cumplimiento de las normas.
- Optimizar procesos en planta.
- Mantener al equipo de planta motivado, cómodo y seguro.
- Manejar el cuaderno de ocurrencias

2. Recolección: Garantizar que cada usuario vuelva a su casa con una sonrisa después de la recolección.

- Asegurar jornadas de recolección óptimas.
- Optimizar capacidad de jornadas de recolección.
- Coordinar constantemente con el coordinador de recolección.
- Mantener al equipo de recolección motivado, cómodo y seguro.

3. Instalaciones: Garantizar que el usuario se sienta conforme con su buena decisión.

- Asegurar jornadas de instalación óptimas.
- Optimizar capacidad de jornadas de instalación.
- Coordinar constantemente con la Coordinadora de Instalaciones y el Área Comercial.
- Mantener al equipo de instalaciones motivado, cómodo y seguro.

 4. Tratamiento de los desechos:

- Asegurar la calidad del tratamiento actual.
- Promover la venta del compost.
- Buscar una alternativa de tratamiento rentable.
- Incentivar investigaciones sobre nuevas formas de tratamiento.
- Coordinar constantemente con el Encargado de Tratamiento.","ADMINISTRACIÓN, ANTROPOLOGÍA, CIENCIA POL. Y GOB. MENCIÓN ADM. Y GES.PUB., CIENCIA POL. Y GOB. MENCIÓN COMUNIC.POL., CIENCIA POLÍTICA Y GOBIERNO, COMUNICACIÓN PARA EL DESARROLLO, DERECHO, DISEÑO INDUSTRIAL, ECONOMÍA, FILOSOFÍA, GEOGRAFÍA Y MEDIO AMBIENTE, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA CIVIL, INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, PSICOLOGÍA, PSICOLOGÍA CLÍNICA, PSICOLOGÍA EDUCACIONAL, PSICOLOGÍA SOCIAL, SERVICIO SOCIAL (TRUJILLO), SOCIOLOGÍA, TRABAJO SOCIAL, TRABAJO SOCIAL- FTS","Educación Superior.
+1 año de experiencia en manejo de varios equipos y de diferentes niveles académicos, preferiblemente en el área de operaciones.
Excelente manejo de Office, Digital Work Tools, Gestión de recursos.
Inglés avanzado.

Postulación:
Envíanos tu CV (máximo 2 páginas) y una carta de presentación (mínimo 2 páginas) respondiendo a las preguntas líneas abajo por correo electrónico a talia.guidino@xrunner-venture.org con el asunto “Reclutamiento: Puesto de Gerente Operaciones (nombre del postulante)”.

Preguntas:

1. ¿Por qué, realmente, quisieras trabajar en x-runner Venture?
2. Según tú, ¿cuáles son las claves de éxito para un(a) gerente de operaciones en x-runner Venture, y cómo éstas se relacionan a tus fuerzas y a tu experiencia?
3. En comparación a otros candidatos con experiencias y calificaciones parecidas, ¿en qué te diferencias tú? ¿De qué forma crees que esa diferencia representaría una contribución a la organización?
4. Según tú, ¿cuáles son los desafíos más importantes a los cuáles x-runner Venture se tiene que enfrentar en los próximos 3 años, y qué impacto vas a tener tú en la organización en ese período de tiempo?"
108,Jefe de proyectos Junior,"1.- Planeamiento y seguimiento del proyecto.
2.- Presupuesto del Proyecto.
3.- Gestión Documental.
4.- Desenvolvimiento frente a usuarios finales.
5.- Reportes de Avance del proyecto y logro de metas mensuales.
6.- Seguimiento de Proyectos e Ideas del cliente.
7.- Seguimiento de Varios Proyectos en paralelo.
8.- Proponer nuevas ideas creativas.","INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","- Egresado(a) de Universidad o Bachiller de la carrera de Ingeniería de Sistemas o afines.
- Conocimiento en Desarrollo Mobile y Web.
- Conocimiento en metodologías Ágiles: Scrum, Kanban, Lean.
- Conocimiento de Microsoft Project y otras herramientas de gestión de proyectos.
- Comunicación fluida, proactividad, responsable y comprometido.
- Predisposición para asumir retos, objetivos y metas.
- Autodidacta con ganas de aprender y especializarse en el puesto."
109,Jefe Soporte Técnico,"Asegurar la satisfacción de nuestros clientes con el servicio de pre y post instalación de los equipos que comercializamos.
Liderar la implementación, creación y cumplimiento de las políticas del área.
Negociar con proveedores las condiciones y políticas de servicio técnico que brinda la empresa.
Velar por la planificación y ejecución de la programación de los servicios de soporte técnico cumpliendo los tiempos y haciendo uso de los recursos de forma adecuada y responsable.
Presentar a Gerencia General indicadores de gestión del área: productividad, cumplimiento, planificación anual y presupuesto.
Planificar y coordinar los entrenamientos de los técnicos a nivel nacional e internacional.
Manejo de los costos asegurando la rentabilidad del área.
Gestión de la mejora continua del área.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA","Deseable contar con estudios de posgrado, maestría o MBA.
Deseable contar con estudios en servicio y atención al cliente.
Manejo de software de gestión de servicio técnico y reclamos.
Experiencia mínima de 3 años como Jefe y/o encargado del área de servicio técnico, soporte técnico o similares.
Conocimientos sólidos en procedimientos en post venta de equipos y maquinas así como de servicio y atención al cliente."
110,Practicante de Ingeniería,"Controlar el stock del spare de la red.
Configurar los servicios móvil y fija en los elementos de Red Core Datos.
Coordinar el avance de proyectos con proveedores externos.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","Conocimientos de Redes Móviles y Gestión de Proyectos.
Conocimientos de Networking.
Conocimiento de Programación Web.
Conocimiento de Base de Datos."
111,Asistente de Gestión y Manufactura,"1. Supervisar el trabajo del personal técnico.
2. Hacer seguimiento de la prestación de los trabajos de apoyo a la investigación, tesis, proyectos , así como de los servicios a terceros y dar cumplimiento a los programas de trabajos establecidos.
3. Asegurar que el taller se encuentre en excelentes condiciones.
4. Realizar un control de calidad de los trabajos realizados y sugerir probables correcciones en los procesos.
5. Supervisar la ejecución del plan de mantenimiento de equipos del laboratorio de manufactura.
6. Entregar los reportes administrativos que el jefe del laboratorio de manufactura necesite.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Experiencia en el sector industrial y/o procesos productivos, no menor a 4 años.
Experiencia en dirección de personal, supervisión y control de procesos productivos y de mantenimiento.
Conocimientos del idioma Inglés a nivel Intermedio.
Manejo del MS Office a nivel Intermedio.
Conocimientos de Software de dibujo o diseño mecánico a nivel Intermedio."
112,Ingeniero de Seguridad Electrónica,"1. Elaboración y supervisión de proyectos de Biometría.
2. Diseño de interfaces electrónicas para sensores de sistemas de control de accesos físicos.
3. Integración de sistemas electrónicos e informáticos de control de acceso.
4. Análisis y dimensionamiento de las características técnicas de los componentes de biometría (control de acceso, asistencias, etc).
5. Implementación de soluciones para el reconocimiento de personas.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA",Experiencia: Mínima en el puesto de 02 años.
113,Practicante de Energía,"-	Analizar y realizar presentaciones y reportes de Ley de Regulaciones del Mercado Eléctrico y/o lo que solicite el mercado.
-	Apoyar y seguir en las propuestas realizadas.
-	Apoyo en el análisis del marco regulatorio del mercado eléctrico.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA","-	Excel y PPT nivel avanzando.
-	Competencias: comunicación, pensamiento crítico, capacidad analítica y  síntesis."
114,Jefe Comercial,"* Responsable de elaborar el planeamiento estratégico de ventas.

* Gestionar el desarrollo y crecimiento de la cartera de clientes asignadas, así como la búsqueda de nuevos clientes.

*Responsable del cierre de contratos y la renovación de los mismos y seguimiento a la gestión de cobranzas.

* Entrenamiento los primeros meses en la planta de producción de productos ubicada en Villa María el Salvador.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","* Con 4 años de experiencia en el rubro comercial.
* Habilidad comprobada para desarrollar y potenciar cartera de clientes, ideal del rubro industrial y/o Agroindustrial.
* Interés por potenciar una línea de negocio en un rubro con proyecciones interesantes de crecimiento.
* Disponibilidad para viajar y visitar a diferentes zonas del país."
115,Practicante de Energía,"Analizar y realizar presentaciones y reportes de Ley de Regulaciones del Mercado Eléctrico y/o lo que solicite el mercado.
Apoyar y seguir en las propuestas realizadas.
Apoyo en el análisis del marco regulatorio del mercado eléctrico.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA",Excel y PPT nivel avanzando.
116,Jefe de Planta,"Gestionar, optimizar y liderar el proceso y ejecución de la producción, garantizando el cumplimiento de los estándares de calidad de la compañía.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","* Experiencia de 4 años en cargos similares como Jefe de planta metalmecánica, fabricación de maquinaria o industriales.
* Conocimientos en producción, administración, prevención de riesgos, técnicas de supervisión, costos, productividad e indicadores relacionados.
* Conocer sobre procesos de soldadura y armado de estructuras.
* Deseable tener conocimiento de sistemas MRP y ERP.
* Lugar de trabajo: Distrito de Villa el Salvador"
117,Asistente Control de la Calidad - Villa El Salvador,"-Inspecciones dimensionales y visuales a la salida del tanque calibrador (líneas de fabricación de tubos).
-Inspecciones dimensionales y visuales a la salida de la cortadora.
-Llenado de formatos de inspección de calidad.
-Cruce entre la data registrada en el Protocolo de Producción y las normas de calidad ASTM 714 e ISO 4427.
-Seguimiento en piso de la producción de tuberías y accesorios.
-Medición de peso de tuberías.
-Llenado de checklist diario de control de calidad: limpieza, funcionamiento de equipos, estado de almacenes, uso de EPPs, cumplimiento de registros de producción, cumplimiento de procedimientos estandarizados.
-Mantenimiento y actualización del ISO 9001: llenado de registros, auditorías internas, seguimiento de acciones correctivas).","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresado de Ingeniero Mecánico.
- Conocimientos estadísticos de muestreo.
- Manejo de programas: Microsoft Excel a nivel intermedio.
- Experiencia de 1 año en puestos similares."
118,Jefe Comercial,"Responsable de elaborar el planeamiento estratégico de ventas cumpliendo de forma efectiva las metas y el presupuesto de ventas.
Gestionar el desarrollo y crecimiento de la cartera de clientes asignadas, así como la búsqueda de nuevos clientes.
Responsable del cierre de contratos y la renovación de los mismos y seguimiento a la gestión de cobranzas.
Entrenamiento los primeros meses en la planta de producción de productos ubicada en Villa María el Salvador.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","* Con 4 años de experiencia en el rubro comercial.
* Habilidad comprobada para desarrollar y potenciar cartera de clientes, ideal del rubro industrial y/o Agroindustrial.
* Interés por potenciar una línea de negocio en un rubro con proyecciones interesantes de crecimiento.
* Disponibilidad para viajar y visitar a diferentes zonas del país."
119,Supervisor de Transporte y Control de Inventarios,"Asegurar las actividades programadas en las áreas de transporte, seguridad y control de inventario, planteando las estrategias que permitan alcanzar los objetivos establecidos por la Organización.

Principales Funciones:
•	Coordinar la logística de entrada y salida de los bienes utilizados, requeridos y/o producidos en las unidades mineras.
•	Plantear aspectos de mejora al sistema de transporte.
•	Supervisar y optimizar los recursos de la flota de transportes de la Compañía y su correspondiente programación de entradas y salidas.
•	Coordinar los transportes especiales y de difícil circulación. 
•	Elaborar las hojas de ruta para transportistas y actividades logísticas (control de tiempos, tránsito y estimado de arribo), insumos químicos y materiales peligrosos.
•	Reducir los costos y optimizar los recursos.
•	Hacer seguimiento al mantenimiento del maestro de materiales. Así como el control físico de los ítems.
•	Realizar el seguimiento de las observaciones de auditorías internas y externas.","ADMINISTRACIÓN, CONTABILIDAD, ECONOMÍA, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA CIVIL, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","•	4 años de experiencia en posiciones similares.
•	Especialización en Logística y Cadena de Suministros. 
•	Experiencia en Administración Logística, Transportes y manejo de inventarios.
•	Conocimientos de Normativa BASC y manejo de indicadores.	
•	Conocimientos de normas legales (Sunat, MEM, MTC, SUTRAN, etc.)				
•	Deseable inglés a nivel Intermedio
•	Portugués básico deseable.
•	Indispensable SAP,
•	Ms Office a nivel Avanzado."
120,Ejecutivo de Cuentas,"Generar nuevos negocios o desarrollar los ya existentes en la cartera de clientes asignada. Participar en las solicitudes de cotizaciones, ofertas y propuestas de negocios. Negociar los términos de las ofertas de bienes o servicio.","ADMINISTRACIÓN, ECONOMÍA, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Experiencia mínima de 3 años en posiciones comerciales.
Experiencia manejando distribuidores.
Experiencia de mínimo 3 años en manejo de canal moderno (Retail).
Inglés a nivel avanzado."
121,Practicante de Ingeniería de Mantenimiento,"- Apoyar en el control del ciclo de vida de los componentes.
- Apoyar en los estudios de campo, pruebas de desempeño, análisis de causa - raíz, análisis de fallas.
- Apoyar en la redacción de informes de inspecciones ejecutadas o de ensayos no destructivos aplicados.
- Apoyar en la promoción de iniciativas de mejora para el área de Ingeniería de Mantenimiento.
- Asistir con eficiencia y eficacia en los aspectos administrativos del área.
- Realizar con eficiencia y eficacia las labores encomendadas por su jefe inmediato.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresado o bachiller de las carreras profesionales de Ingeniería Industrial, Ingeniería de Materiales y/o carreras afines (no titulados - excluyente).
- No titulados (excluyente).
- Disponibilidad para trabajar en Lurín (movilidad cubierta al 100% por la empresa)."
122,Practicante de Servicios Generales,"- Apoyar en la elaboración y seguimiento del Plan de Mantenimiento Preventivo y Correctivo de la infraestructura, equipos de computo, sistema de seguridad, alarmas y equipos en general del Reman Center afín de garantizar su óptimo estado y funcionamiento.
- Apoyar en el seguimiento al pago de los servicios en general (telefonía, alquileres, subcontratistas, etc.) y de la prestación idónea de los servicios.
- Apoyar en la planificación de las actividades de servicios generales de acuerdo a las necesidades de las oficinas. 
- Apoyar en la realización de inspecciones diaria a las instalaciones.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresado o bachiller de las carreras profesionales de Ingeniería Industrial, Ingeniería Mecánica, Mecánica de Mantenimiento y/o carreras afines (no titulados - excluyente).
- No titulados (excluyente).
- Disponibilidad para trabajar en Lurín (movilidad cubierta al 100% por la empresa)."
123,INGENIA - PROGRAMA PARA EGRESADOS,"Actualmente estamos buscando profesionales recién egresados como tú, para formar parte de este Programa INGENIA, en la que tendrás como reto principal el implementar proyectos de mejora para las área de procesos, Innovación Digital y Tecnología, planteando estrategias de optimización, eficiencia y/o modernización que impacten en el desarrollo sostenible del grupo.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Mínima 3 meses en áreas de mejora de procesos, Digital y/o Tecnología."
124,Asistente Control de Calidad - Planta,"-Aseguramiento de la calidad durante la producción.
- Control de productos terminados.
-Dossiers de calidad.
-Inspección y control de proveedores y contratistas.
-Coordinación con áreas técnicas y calidad de clientes.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresado de Ingeniero Mecánico, mecatronico.
- Conocimientos estadísticos de muestreo.
- Manejo de programas: Microsoft Excel a nivel intermedio.
- Experiencia de 1 año en puestos similares."
125,Practicante de Mantenimiento,"Administrar el presupuesto de repuestos.
Coordinar los mantenimientos preventivos con los supervisores y los jefes de áreas.
Mantener al día hoja de vida de equipos.
Seguimiento a la ejecución y entrega de los trabajos acordados.
Apoyo en proyectos de mejora.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",Egresado de la carrera de ing. mecánica o industrial.
126,Jefe de Producción,"Establecer la estrategia y estructura del área de producción.
Dirigir y controlar la planificación y control de la producción.
Cumplir y hacer cumplir las políticas y procedimientos de producción.
Dirigir y controlar la ejecución de las operaciones productivas.
Administrar los recursos materiales y humanos para las operaciones productivas.
Responsable de la calidad de los productos.
Responsable de la productividad de los recursos.
Elaborar, ejecutar y controlar los presupuestos anuales de producción.
Cumplir y hacer cumplir las políticas y normas de seguridad y salud en el trabajo, normas medioambientales y procedimientos de aseguramiento de la calidad del producto.","ADMINISTRACIÓN, ADMINISTRACIÓN, ADMINISTRACIÓN DE NEGOCIOS, ADMINISTRACIÓN DE NEGOCIOS GLOBALES, ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA INDUSTRIAL, INGENIERÍA INDUSTRIAL CON MENCIÓN EN GESTIÓN DE OPERACIONES, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","5 años de experiencia liderando áreas de producción con equipos de más de 200 personas, en turnos rotativos.
Experiencia elaborando y presentando reportes de gestión a la gerencia.
Conocimientos en lean manufacturing y seguridad industrial.
Conocimiento de SAP-PP intermedio o ERP."
127,Coordinador de Informatica Interna,"- Supervisar la efectiva atención de las necesidades de soluciones tecnológicas a las distintas áreas o clientes de la empresa, en forma eficiente y oportuna.
- Participar en la elaboración y ejecución de proyectos internos del área de sistemas.
- Elaborar el Plan de Tecnologías de Información y liderar su desarrollo e implementación.
- Promover medidas tendentes al mejoramiento continuo de los procesos realizados en el ámbito de su competencia.
- Administrar los riesgos de su competencia, a través de la identificación, tratamiento y control de los mismos, relacionados al logro de los objetivos del área a su cargo; considerando adicionalmente la seguridad de información en la empresa.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","- 1 año de experiencia a fines.
- Titulado en de Ingeniería de Sistemas, Electrónica, Industrial o afines Sistemas operativos Windows, Linux UNIX.
- Conocimiento de servidores Web, Base de Datos, Proxy, Firewall y virtualización."
128,Representante De Ventas - Zona Norte,"- Administrar una cartera de clientes en la zona norte.
- Colaborar con otras áreas de la empresa.
- Elaborar reportes de ventas.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Indispensable residir en la Zona norte y/o opción de mudarse a corto plazo.
- Experiencia en el área de Ventas (técnico industrial y comercial).
- Experiencia en soporte técnico.
- Conocimiento de Hidráulica y/o Tecnología industrial.
- Conocimiento de estrategia de ventas."
129,Practicante TI,"- Brindar servicio de mesa de ayuda.
- Realizar la configuración y mantenimiento de equipos de cómputo, creación de usuarios, cuentas de correo.
- Apoyar en  la configuración de equipos de comunicaciones y redes.
- Apoyar en la gestión de copias de seguridad.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","- EGRESADO UNIVERSITARIO (2015-2016) de las carreras Ingeniería de Sistemas o afines.
- Conocimientos: Sistemas operativos (Pc y servidores), Diagnostico, reparación de equipos de cómputo; redes y comunicaciones.
- Proactivo, dinámico, con facilidad de trato.
- Disponibilidad para trabajar en Chorrillos."
130,Supervisor de Producción (CARGO OPERATIVO-ESTRATEGICO),"•	Contribuir al planeamiento de la producción y distribuir la carga de trabajo al personal a cargo.
•	Supervisar las actividades productivas mediante la verificación del buen manejo de materiales. Coordinar la solicitud de los materiales requeridos para el programa de producción.
•	Planear la producción (hoja de formulación) y distribuir la carga de trabajo al personal a cargo.
•	Supervisar la calidad de los colchones y a la detección de fallas durante y al final del proceso productivo.
•	Controlar y actualizar los diferentes procesos productivos a cargo.
•	Seguir los ordenamientos de PCP en cuanto a la producción y programación de trabajos.
•	Manejar los recursos humanos, logísticos y de planta.","INGENIERÍA CIVIL, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",
131,Gerente Administrativo Financiero,"•	Gerenciar el presupuesto asignado a cada área y proyectos,  a fin de asegurar una óptima planificación y distribución de los recursos monetarios.
•	Gestionar los Recursos Humanos de la organización, enfocándose en la primera línea de ejecutivos, con el fin de asegurar un desempeño óptimo y profundizar en conocimientos necesarios para lograr la sostenibilidad y  el crecimiento del negocio.
•	Gerenciar el planeamiento estratégico financiero corporativo (recursos, estados financieros y contables, diseño de su estructura, tributación, ratios , metas etc), a fin de mejorar la posición competitiva de la corporación.
•	Supervisar y controlar la elaboración de los estados contables y financieros, así como los ratios respectivos. Sustentarlos periódicamente, ante la alta dirección, a fin de asegurar la integridad de la información y/o presentación oportuna a entidades financieras o regulatorias. 
•	Gerenciar el presupuesto asignado a cada área y proyectos,  a fin de asegurar una óptima planificación y distribución de los recursos monetarios, así como el cumplimiento de los objetivos presupuestales, en caso de desvíos, establecer acciones correctivas.
•	Brindar asesoramiento sobre los análisis financieros de sus resultados, la viabilidad de las operaciones actuales y potenciales para contribuir en el uso de información objetiva en la toma de decisiones de la alta dirección.
•	Participar en el diseño del planeamiento estratégico la organización, asegurando su ejecución y control.","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","•	Indispensable MBA o maestría en Finanzas.
•	Experiencia no menor a 05 años en empresas de proyectos y 03 años administrando empresas de mediana envergadura liderando todas las áreas de la empresa.
•	Conocimiento de herramientas financieras y tributación.
•	Deseable manejo en gestión de proyectos.
•	Disponibilidad para radicar en la ciudad de Ica.
•	Inglés a nivel intermedio.
•	Dominio de Microsoft Office."
132,Jefe De Planificación,"En la actualidad se encuentra en la búsqueda de un Jefe de Planificación, cuyas funciones serán:

- Elaborar el plan de mantenimiento por cada categoría de activos de acuerdo a la disponibilidad de los recursos.
- Analizar criticidad y modos de falla de los activos.
- Monitorear costos, tarifas y diferencias entre facturación entre las distintas Unidades de Negocio.","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA CIVIL, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresados de las carreras profesionales de Ingeniería Industrial, Ingeniería Civil, Ingeniería Mecánica, Administración y/o afines.
- Experiencia de tres años en el área Logística de empresas industriales, de servicios o retail.
- Experiencia en compras de repuestos de máquinas y materiales ferreteros (de preferencia).
- Conocimientos de Microsoft Office a nivel intermedio (Excel, PPT).
- Conocimientos de Microsoft Project a nivel intermedio.
- Conocimientos de compras en materiales y servicios.
- Conocimientos del idioma inglés a nivel intermedio."
133,Asistente Administrativo de Mantenimiento,"Asistir en coordinacion de las actividades de Mantenimiento del sector, suministrando materiales, ejecutando envios y/o supervisando trabajos de mantenimiento menor  en los complejos de cine y oficinas administrativas.
Coordinar trabajos/proyectos menores en oficinas administrativas y/o complejos de cine.
Asistir en elaborar los informes técnicos y/o administrativos durante el desarrollo del trabajo y a su conclusión, para su aprobación. Así como de apoyar en la evaluación de presupuestos de terceros, que le sean encomendados.
Actualizar  y Asistir en el control de los KPIs de mantenimiento y presupuesto del area.
Coordinar y supervisar el mantenimiento y buen estado de los Equipos menores e infraestructura de Oficinas.
Gestionar y dar seguimiento a la generacion y envio de OC de mantenimiento asi como tambien las labores administrativas concernientes a la recepcion de facturas y pago de proveedores.
Realizar el inventario de repuestos criticos del almacen de repuestos de mantenimiento asi como tambien de realizar los pedidos de reposicion con la finalidad de mantener un stock de seguridad para dar el soporte necesario a la operación.","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Experiencia de 6 meses como asistente administrativo y/o como practicante en el área de mantenimiento.
Manejo de Excel a nivel intermedio (Indispensable).
Horario de trabajo: Lunes a Viernes de 9:00 am a 6:00 pm."
